stable_id,chrom,start,end,strand,name,accession
ENSG00000175206,1,11845709,11848345,-1,NPPA,4878
ENSG00000120937,1,11857464,11858931,-1,NPPB,4879
ENSG00000199347,1,11908152,11908271,1,RNU5E-1,26829
ENSG00000083444,1,11934205,11975538,1,PLOD1,5351
ENSG00000116688,1,11980181,12013514,1,MFN2,9927
ENSG00000116691,1,12019466,12032045,1,MIIP,60672
ENSG00000276869,1,12029158,12029222,1,MIR6729,102466982
ENSG00000120949,1,12063377,12144207,1,TNFRSF8,943
ENSG00000275459,1,12166943,12167038,1,MIR7846,102465836
ENSG00000028137,1,12167003,12209228,1,TNFRSF1B,7133
ENSG00000263676,1,12191713,12191773,1,MIR4632,100616438
ENSG00000048707,1,12230067,12512047,1,VPS13D,55187
ENSG00000239149,1,12507246,12507397,1,SNORA59A,677885
ENSG00000162496,1,12567910,12617731,-1,DHRS3,9249
ENSG00000276830,1,12578957,12579023,-1,MIR6730,102466722
ENSG00000204518,1,12644547,12667086,1,AADACL4,343066
ENSG00000188984,1,12716115,12728759,1,AADACL3,126767
ENSG00000157330,1,12746215,12763699,1,C1orf158,93190
ENSG00000116726,1,12774841,12777906,1,PRAMEF12,390999
ENSG00000239810,1,12824605,12831410,-1,PRAMEF11,440560
ENSG00000179172,1,12847377,12947578,-1,HNRNPCL1,343069
ENSG00000120952,1,12857086,12861909,1,PRAMEF2,65122
ENSG00000243073,1,12879224,12886201,-1,PRAMEF4,400735
ENSG00000187545,1,12892896,12898270,-1,PRAMEF10,343071
ENSG00000204510,1,12916610,12920482,1,PRAMEF7,441871
ENSG00000232423,1,12938472,13056491,-1,PRAMEF6,440561
ENSG00000274764,1,13049476,13056491,-1,PRAMEF27,101929983
ENSG00000229571,1,13060853,13077884,1,PRAMEF25,441873
ENSG00000277058,1,13060869,13062229,1,HNRNPCL3,649330
ENSG00000275774,1,13115496,13116854,-1,HNRNPCL2,440563
ENSG00000179412,1,13164586,13165467,-1,HNRNPCL4,101060301
ENSG00000204505,1,13172455,13179464,1,PRAMEF9,343070
ENSG00000279804,1,13222695,13226133,-1,PRAMEF18,391003
ENSG00000270601,1,13254212,13263314,1,PRAMEF5,343068
ENSG00000182330,1,13281035,13285174,-1,PRAMEF8,391002
ENSG00000204501,1,13303509,13322598,1,PRAMEF15,653619
ENSG00000204481,1,13342034,13347134,-1,PRAMEF14,729528
ENSG00000204478,1,13410450,13421328,1,PRAMEF20,645425
ENSG00000162494,1,13474977,13514048,-1,LRRC38,126755
ENSG00000162493,1,13583465,13617957,1,PDPN,10630
ENSG00000116731,1,13700198,13825079,1,PRDM2,7799
ENSG00000189337,1,14598704,15118043,1,KAZN,23254
ENSG00000175147,1,15111815,15152464,-1,TMEM51-AS1,200197
ENSG00000171729,1,15152532,15220480,1,TMEM51,55092
ENSG00000142621,1,15247272,15400283,1,FHAD1,114827
ENSG00000142634,1,15409895,15430343,1,EFHD2,79180
ENSG00000162438,1,15438439,15449242,1,CTRC,11330
ENSG00000142615,1,15456728,15472091,1,CELA2A,63036
ENSG00000215704,1,15465909,15491400,1,CELA2B,51032
ENSG00000132906,1,15490832,15526534,-1,CASP9,842
ENSG00000116138,1,15526813,15592379,1,DNAJC16,23341
ENSG00000116771,1,15572353,15585110,-1,AGMAT,79814
ENSG00000197312,1,15617500,15669044,1,DDI2,84301
ENSG00000215695,1,15659869,15661722,1,RSC1A1,6248
ENSG00000116786,1,15684332,15734769,1,PLEKHM2,23207
ENSG00000162461,1,15736405,15741396,1,SLC25A34,284723
ENSG00000162460,1,15742422,15747982,1,TMEM82,388595
ENSG00000162458,1,15756607,15786594,1,FBLIM1,54751
ENSG00000233954,1,15807169,15809348,-1,UQCRHL,440567
ENSG00000179743,1,15834474,15848147,-1,FLJ37453,729614
ENSG00000065526,1,15847864,15940460,1,SPEN,23013
ENSG00000116809,1,15941869,15976132,-1,ZBTB17,7709
ENSG00000183888,1,16004236,16008807,1,C1orf64,149563
ENSG00000173641,1,16014028,16019594,-1,HSPB7,27129
ENSG00000186510,1,16018875,16034050,1,CLCNKA,1187
ENSG00000184908,1,16043736,16057308,1,CLCNKB,1188
ENSG00000185519,1,16057769,16073632,-1,FAM131C,348487
ENSG00000142627,1,16124337,16156087,-1,EPHA2,1969
ENSG00000142632,1,16197854,16212609,-1,ARHGEF19,128272
ENSG00000132881,1,16231700,16237162,-1,RSG1,79363
ENSG00000037637,1,16246839,16352454,-1,FBXO42,54455
ENSG00000055070,1,16352575,16398145,1,SZRD1,26099
ENSG00000187144,1,16387117,16437424,-1,SPATA21,374955
ENSG00000157191,1,16440672,16460078,1,NECAP2,55707
ENSG00000080947,1,16467436,16499257,-1,CROCCP3,114819
ENSG00000206652,1,16514122,16514285,-1,RNU1-1,26871
ENSG00000268991,1,16539066,16539575,1,FAM231B,100133301
ENSG00000207513,1,16666785,16666948,-1,RNU1-3,26869
ENSG00000268869,1,16687339,16720157,-1,ESPNP,284729
ENSG00000058453,1,16740273,16972979,1,CROCC,9696
ENSG00000207389,1,16740516,16740679,1,RNU1-4,6060
ENSG00000263811,1,16858949,16859021,-1,MIR3675,100500876
ENSG00000207005,1,16895980,16896143,1,RNU1-2,26870
ENSG00000117122,1,16974502,16980835,-1,MFAP2,4237
ENSG00000159363,1,16985958,17011928,-1,ATP13A2,23400
ENSG00000117118,1,17018722,17054170,-1,SDHB,6390
ENSG00000117115,1,17066761,17119435,-1,PADI2,11240
ENSG00000142623,1,17205126,17246005,1,PADI1,29943
ENSG00000142619,1,17249098,17284233,1,PADI3,51702
ENSG00000266634,1,17277889,17277975,1,MIR3972,100616188
ENSG00000159339,1,17308195,17364004,1,PADI4,23569
ENSG00000276747,1,17372196,17401699,1,PADI6,353238
ENSG00000179051,1,17406760,17439724,-1,RCC2,55920
ENSG00000074964,1,17539835,17697874,1,ARHGEF10L,55160
ENSG00000117148,1,17755313,17827063,1,ACTL8,81569
ENSG00000261781,1,18065657,18074412,1,LOC101927876,101927876
ENSG00000117154,1,18107746,18378483,1,IGSF21,84966
ENSG00000179023,1,18480982,18486126,1,KLHDC7A,127707
ENSG00000009709,1,18631006,18748866,1,PAX7,5081
ENSG00000179002,1,18839599,18859682,-1,TAS1R2,80834
ENSG00000159423,1,18871430,18902781,-1,ALDH4A1,8659
ENSG00000265606,1,18883202,18883275,-1,MIR4695,100616120
ENSG00000221662,1,18897071,18897148,-1,MIR1290,100302276
ENSG00000169991,1,18904281,18956686,-1,IFFO2,126917
ENSG00000127481,1,19074506,19210276,-1,UBR4,23352
ENSG00000127463,1,19215664,19251552,-1,EMC1,23065
ENSG00000053372,1,19251539,19260128,1,MRTO4,51154
ENSG00000162482,1,19282558,19289250,-1,AKR7A3,22977
ENSG00000053371,1,19303965,19312146,-1,AKR7A2,8574
ENSG00000040487,1,19312326,19329300,1,PQLC2,54896
ENSG00000077549,1,19338776,19485539,-1,CAPZB,832
ENSG00000173436,1,19596977,19629821,1,MINOS1,440574
ENSG00000270136,1,19596979,19658056,1,MINOS1-NBL1,100532736
ENSG00000158747,1,19640554,19658456,1,NBL1,4681
ENSG00000158748,1,19665287,19679562,1,HTR6,3362
ENSG00000162542,1,19682213,19799945,-1,TMCO4,255104
ENSG00000178828,1,19814029,19815278,-1,RNF186,54546
ENSG00000169914,1,19882513,19912945,1,OTUD3,23252
ENSG00000188784,1,19920009,19923617,-1,PLA2G2E,30814
ENSG00000188257,1,19975431,19980416,-1,PLA2G2A,5320
ENSG00000127472,1,20028179,20091190,1,PLA2G5,5322
ENSG00000117215,1,20111939,20119566,-1,PLA2G2D,26279
ENSG00000158786,1,20139326,20150386,1,PLA2G2F,64600
ENSG00000187980,1,20161253,20177424,-1,PLA2G2C,391013
ENSG00000225986,1,20184242,20186486,-1,UBXN10-AS1,101928017
ENSG00000162543,1,20186085,20196048,1,UBXN10,127733
ENSG00000158816,1,20290919,20354894,1,VWA5B1,127731
ENSG00000162545,1,20482391,20486220,-1,CAMK2N1,55450
ENSG00000090432,1,20499448,20508161,-1,MUL1,79594
ENSG00000183114,1,20552439,20555010,1,FAM43B,163933
ENSG00000158825,1,20588948,20618908,1,CDA,978
ENSG00000158828,1,20633455,20651511,1,PINK1,65018
ENSG00000273695,1,20633679,20633788,1,MIR6084,102464833
ENSG00000117242,1,20642657,20652193,-1,PINK1-AS,100861548
ENSG00000244038,1,20651767,20661544,-1,DDOST,1650
ENSG00000117245,1,20664014,20718017,-1,KIF17,57576
ENSG00000189410,1,20719732,20732837,-1,SH2D5,400745
ENSG00000127483,1,20742661,20787323,-1,HP1BP3,50809
ENSG00000075151,1,20806292,21176888,-1,EIF4G3,8672
ENSG00000221808,1,20988314,20988432,-1,MIR1256,100302155
ENSG00000117298,1,21217247,21345504,-1,ECE1,1889
ENSG00000231105,1,21293290,21299774,1,LOC100506801,100506801
ENSG00000142794,1,21440128,21485005,1,NBPF3,84224
ENSG00000162551,1,21509372,21578412,1,ALPL,249
ENSG00000076864,1,21596215,21669363,-1,RAP1GAP,5909
ENSG00000090686,1,21678298,21783606,-1,USP48,84196
ENSG00000187942,1,21812265,21825221,1,LDLRAD2,401944
ENSG00000142798,1,21822245,21937297,-1,HSPG2,3339
ENSG00000219073,1,21977021,21998642,1,CELA3B,23436
ENSG00000142789,1,22001656,22012539,1,CELA3A,10136
ENSG00000228397,1,22023990,22026048,-1,LOC101928043,101928043
ENSG00000218510,1,22024531,22031225,1,LINC00339,29092
ENSG00000070831,1,22052627,22092946,1,CDC42,998
ENSG00000162552,1,22117305,22143969,-1,WNT4,54361
ENSG00000266564,1,22266239,22266300,1,MIR4418,100616433
ENSG00000184677,1,22451851,22531157,1,ZBTB40,9923
ENSG00000070886,1,22563564,22603594,1,EPHA8,2046
ENSG00000173372,1,22636506,22639608,1,C1QA,712
ENSG00000159189,1,22643630,22648110,1,C1QC,714
ENSG00000173369,1,22652762,22661538,1,C1QB,713
ENSG00000133216,1,22710839,22921500,1,EPHB2,2048
ENSG00000265422,1,22719517,22719598,1,MIR4684,100616391
ENSG00000264014,1,22863159,22863226,-1,MIR4253,100422914
ENSG00000215906,1,22953043,22965338,-1,LACTBL1,646262
ENSG00000227868,1,23010834,23015850,-1,C1orf234,729059
ENSG00000004487,1,23019448,23083689,1,KDM1A,23028
ENSG00000263793,1,23044305,23044372,1,MIR3115,100422866
ENSG00000266802,1,23057858,23057934,-1,MIR4419A,100616177
ENSG00000169641,1,23084023,23177808,-1,LUZP1,7798
ENSG00000179546,1,23191895,23194729,-1,HTR1D,3352
ENSG00000125944,1,23303771,23344336,-1,HNRNPR,10236
ENSG00000125945,1,23359448,23369442,-1,ZNF436,80818
ENSG00000204219,1,23381061,23424740,-1,TCEA3,6920
ENSG00000088280,1,23428563,23484568,-1,ASAP3,55616
ENSG00000007968,1,23506430,23531220,-1,E2F2,1870
ENSG00000117318,1,23557918,23559794,-1,ID3,3399
ENSG00000142676,1,23691779,23696425,1,RPL11,6135
ENSG00000011007,1,23743155,23762059,1,TCEB3,6924
ENSG00000236810,1,23760382,23778287,-1,TCEB3-AS1,100506963
ENSG00000057757,1,23778405,23788232,1,PITHD1,57095
ENSG00000011009,1,23790970,23795539,1,LYPLA2,11313
ENSG00000117308,1,23795599,23800804,-1,GALE,2582
ENSG00000117305,1,23801885,23838620,-1,HMGCL,3155
ENSG00000179163,1,23845077,23868294,-1,FUCA1,2517
ENSG00000188822,1,23870526,23913362,-1,CNR2,1269
ENSG00000264926,1,23929070,23929147,1,MIR378F,100616492
ENSG00000189266,1,23959109,23963462,1,PNRC2,55629
ENSG00000188529,1,23964804,23980927,-1,SRSF10,10772
ENSG00000142661,1,24056035,24112175,-1,MYOM3,127294
ENSG00000142677,1,24119771,24143121,-1,IL22RA1,58985
ENSG00000185436,1,24154157,24187959,-1,IFNLR1,163702
ENSG00000230023,1,24200240,24211693,1,LOC284632,284632
ENSG00000158055,1,24319322,24364482,1,GRHL3,57822
ENSG00000001460,1,24356999,24416934,-1,STPG1,90529
ENSG00000001461,1,24415794,24472976,1,NIPAL3,57185
ENSG00000117602,1,24502351,24541040,1,RCAN3,11123
ENSG00000184454,1,24556111,24609328,1,NCMAP,400746
ENSG00000133226,1,24631716,24673267,1,SRRM1,10250
ENSG00000169504,1,24745357,24844324,1,CLIC4,25932
ENSG00000020633,1,24899511,24965121,-1,RUNX3,864
ENSG00000278034,1,24919345,24919416,-1,MIR6731,102465437
ENSG00000264371,1,25023503,25023586,1,MIR4425,100616365
ENSG00000117614,1,25222679,25232502,-1,SYF2,25949
ENSG00000117616,1,25242237,25338213,-1,RSRP1,57035
ENSG00000187010,1,25272393,25330445,1,RHD,6007
ENSG00000183726,1,25337917,25362361,1,TMEM50A,23585
ENSG00000188672,1,25362249,25430192,-1,RHCE,6006
ENSG00000204178,1,25430858,25500209,1,TMEM57,55219
ENSG00000157978,1,25543580,25568886,1,LDLRAP1,26119
ENSG00000117643,1,25617468,25786207,1,MAN1C1,57134
ENSG00000162430,1,25800176,25818224,1,SEPN1,57190
ENSG00000117640,1,25818640,25832942,1,MTFR1L,56181
ENSG00000127423,1,25831913,25859458,-1,AUNIP,79000
ENSG00000182749,1,25861210,25871253,-1,PAQR7,164091
ENSG00000117632,1,25884181,25906991,-1,STMN1,3925
ENSG00000264021,1,25906362,25906454,-1,MIR3917,100500808
ENSG00000158006,1,25959767,25998157,-1,PAFAH2,5051
ENSG00000158008,1,26019884,26036464,1,EXTL1,2134
ENSG00000158014,1,26037252,26046133,-1,SLC30A2,7780
ENSG00000158022,1,26051304,26068436,-1,TRIM63,84676
ENSG00000175087,1,26111165,26125543,1,PDIK1L,149420
ENSG00000197245,1,26159020,26163962,1,FAM110D,79927
ENSG00000282872,1,26164161,26168581,-1,LOC105376887,105376887
ENSG00000142684,1,26169871,26172060,1,ZNF593,51042
ENSG00000142675,1,26177403,26189886,1,CNKSR1,10256
ENSG00000188782,1,26190561,26202968,1,CATSPER4,378807
ENSG00000236155,1,26209741,26229840,1,LOC101928303,101928303
ENSG00000130695,1,26234153,26279038,1,CEP85,64793
ENSG00000142669,1,26279176,26281522,1,SH3BGRL3,83442
ENSG00000158062,1,26281328,26318363,-1,UBXN11,91544
ENSG00000169442,1,26317957,26320523,1,CD52,1043
ENSG00000176092,1,26321859,26354130,-1,AIM1L,55057
ENSG00000176083,1,26361634,26374522,-1,ZNF683,257101
ENSG00000131914,1,26410778,26429722,1,LIN28A,79727
ENSG00000117682,1,26432282,26471294,1,DHDDS,79947
ENSG00000198830,1,26472450,26475972,1,HMGN2,3151
ENSG00000117676,1,26529761,26575030,1,RPS6KA1,6195
ENSG00000238705,1,26554542,26554593,1,MIR1976,100302190
ENSG00000117713,1,26696033,26782104,1,ARID1A,8289
ENSG00000060642,1,26787472,26798398,1,PIGV,55650
ENSG00000204160,1,26826710,26857602,1,ZDHHC18,84243
ENSG00000175793,1,26863138,26864457,1,SFN,2810
ENSG00000142751,1,26876133,26890297,-1,GPN2,54707
ENSG00000198746,1,26890488,26900466,-1,GPATCH3,63906
ENSG00000090273,1,26900238,26946862,1,NUDC,10726
ENSG00000131910,1,26911489,26913966,-1,NR0B2,8431
ENSG00000175707,1,26949562,26960406,-1,KDF1,126695
ENSG00000253368,1,26993707,27000898,1,TRNP1,388610
ENSG00000158246,1,27005020,27012836,-1,FAM46B,115572
ENSG00000090020,1,27098815,27166981,-1,SLC9A1,6548
ENSG00000142784,1,27234516,27308633,1,WDTC1,23038
ENSG00000186501,1,27322145,27336400,1,TMEM222,84065
ENSG00000142765,1,27342020,27353937,1,SYTL1,84958
ENSG00000142733,1,27355184,27366892,-1,MAP3K6,9064
ENSG00000142748,1,27369112,27374824,-1,FCN3,8547
ENSG00000174950,1,27379176,27383380,-1,CD164L2,388611
ENSG00000181773,1,27392644,27395814,1,GPR3,2827
ENSG00000158195,1,27404226,27490158,-1,WASF2,10163
